acRate,difficulty,frontendQuestionId,isFavor,paidOnly,title,titleSlug,topicTags,hasSolution,hasVideoSolution
55.32585431246137,Easy,1,False,False,Two Sum,two-sum,"['Array', 'Hash Table']",True,True
45.704411110949664,Medium,2,False,False,Add Two Numbers,add-two-numbers,"['Linked List', 'Math', 'Recursion']",True,True
36.53266195940197,Medium,3,False,False,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"['Hash Table', 'String', 'Sliding Window']",True,True
43.21953807396498,Hard,4,False,False,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"['Array', 'Binary Search', 'Divide and Conquer']",True,True
35.481251820068806,Medium,5,False,False,Longest Palindromic Substring,longest-palindromic-substring,"['Two Pointers', 'String', 'Dynamic Programming']",True,True
51.05351030920713,Medium,6,False,False,Zigzag Conversion,zigzag-conversion,['String'],True,True
29.998962373693704,Medium,7,False,False,Reverse Integer,reverse-integer,['Math'],True,True
18.883423761472542,Medium,8,False,False,String to Integer (atoi),string-to-integer-atoi,['String'],True,False
58.85029573775268,Easy,9,False,False,Palindrome Number,palindrome-number,['Math'],True,True
29.05733389816218,Hard,10,False,False,Regular Expression Matching,regular-expression-matching,"['String', 'Dynamic Programming', 'Recursion']",True,False
57.38637078890165,Medium,11,False,False,Container With Most Water,container-with-most-water,"['Array', 'Two Pointers', 'Greedy']",True,True
68.0793132571126,Medium,12,False,False,Integer to Roman,integer-to-roman,"['Hash Table', 'Math', 'String']",True,True
64.40139450155587,Easy,13,False,False,Roman to Integer,roman-to-integer,"['Hash Table', 'Math', 'String']",True,True
45.09105460550747,Easy,14,False,False,Longest Common Prefix,longest-common-prefix,"['String', 'Trie']",True,True
36.65510003440354,Medium,15,False,False,3Sum,3sum,"['Array', 'Two Pointers', 'Sorting']",True,True
46.68625194837994,Medium,16,False,False,3Sum Closest,3sum-closest,"['Array', 'Two Pointers', 'Sorting']",True,True
63.35228021426222,Medium,17,False,False,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"['Hash Table', 'String', 'Backtracking']",True,False
37.795272452845,Medium,18,False,False,4Sum,4sum,"['Array', 'Two Pointers', 'Sorting']",True,False
48.39138170474623,Medium,19,False,False,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"['Linked List', 'Two Pointers']",True,True
42.014175046505926,Easy,20,False,False,Valid Parentheses,valid-parentheses,"['String', 'Stack']",True,True
66.47977328505019,Easy,21,False,False,Merge Two Sorted Lists,merge-two-sorted-lists,"['Linked List', 'Recursion']",True,True
76.73858637694374,Medium,22,False,False,Generate Parentheses,generate-parentheses,"['String', 'Dynamic Programming', 'Backtracking']",True,True
56.13993332098537,Hard,23,False,False,Merge k Sorted Lists,merge-k-sorted-lists,"['Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort']",True,True
66.73748832489265,Medium,24,False,False,Swap Nodes in Pairs,swap-nodes-in-pairs,"['Linked List', 'Recursion']",True,False
62.38060257554574,Hard,25,False,False,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"['Linked List', 'Recursion']",True,False
59.790431572862026,Easy,26,False,False,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"['Array', 'Two Pointers']",True,True
59.670013626256214,Easy,27,False,False,Remove Element,remove-element,"['Array', 'Two Pointers']",True,True
44.64272830268887,Easy,28,False,False,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,"['Two Pointers', 'String', 'String Matching']",True,True
18.22850544373474,Medium,29,False,False,Divide Two Integers,divide-two-integers,"['Math', 'Bit Manipulation']",True,False
32.85574702797397,Hard,30,False,False,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"['Hash Table', 'String', 'Sliding Window']",True,True
42.57286061559552,Medium,31,False,False,Next Permutation,next-permutation,"['Array', 'Two Pointers']",True,True
35.88470902571685,Hard,32,False,False,Longest Valid Parentheses,longest-valid-parentheses,"['String', 'Dynamic Programming', 'Stack']",True,False
42.49761626349072,Medium,33,False,False,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"['Array', 'Binary Search']",True,False
46.37332727775251,Medium,34,False,False,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"['Array', 'Binary Search']",True,False
48.56338276522516,Easy,35,False,False,Search Insert Position,search-insert-position,"['Array', 'Binary Search']",True,True
61.88105753166876,Medium,36,False,False,Valid Sudoku,valid-sudoku,"['Array', 'Hash Table', 'Matrix']",True,False
63.70636136418608,Hard,37,False,False,Sudoku Solver,sudoku-solver,"['Array', 'Hash Table', 'Backtracking', 'Matrix']",True,False
58.163839917040924,Medium,38,False,False,Count and Say,count-and-say,['String'],True,False
74.17482928987673,Medium,39,False,False,Combination Sum,combination-sum,"['Array', 'Backtracking']",True,True
57.334587336001306,Medium,40,False,False,Combination Sum II,combination-sum-ii,"['Array', 'Backtracking']",True,False
40.79074752537147,Hard,41,False,False,First Missing Positive,first-missing-positive,"['Array', 'Hash Table']",True,False
64.54800550101851,Hard,42,False,False,Trapping Rain Water,trapping-rain-water,"['Array', 'Two Pointers', 'Dynamic Programming', 'Stack', 'Monotonic Stack']",True,False
41.99278377903678,Medium,43,False,False,Multiply Strings,multiply-strings,"['Math', 'String', 'Simulation']",True,False
